#Life 1.06
#N Gosper Gun + Eater
#Size 100 80
#R B3/S23
32 7
32 8
34 8
15 9
16 9
35 9
36 9
13 10
17 10
35 10
36 10
41 10
42 10
12 11
18 11
35 11
36 11
41 11
42 11
7 12
8 12
11 12
12 12
14 12
18 12
27 12
32 12
34 12
7 13
8 13
12 13
18 13
28 13
32 13
13 14
17 14
23 14
26 14
27 14
28 14
15 15
16 15
35 20
33 21
35 21
34 22
35 22
42 27
43 28
41 29
42 29
43 29
43 37
44 37
45 37
43 38
44 38
45 38
46 38
47 38
48 38
46 39
47 39
49 39
48 40
50 40
50 41
50 42
51 42
